date,source,player_name,position,winnings,gender,episode_bankrupts,episode_lose_a_turns,url
2021-09-22,WordPress,Julee,14,7700,Unknown,2.0,0.0,https://andynwof.wordpress.com/2021/09/22/wof-recap-september-22-2021/
2021-09-23,WordPress,Cynthia,1,1200,F,2.0,2.0,https://andynwof.wordpress.com/2021/09/23/wof-recap-september-23-2021/
2021-09-23,WordPress,Cynthia,2,1400,F,2.0,2.0,https://andynwof.wordpress.com/2021/09/23/wof-recap-september-23-2021/
2021-09-23,WordPress,Giovanni,3,1200,M,2.0,2.0,https://andynwof.wordpress.com/2021/09/23/wof-recap-september-23-2021/
2021-09-23,WordPress,Giovanni,4,10500,M,2.0,2.0,https://andynwof.wordpress.com/2021/09/23/wof-recap-september-23-2021/
2021-09-23,WordPress,Aly,5,3,F,2.0,2.0,https://andynwof.wordpress.com/2021/09/23/wof-recap-september-23-2021/
2021-09-23,WordPress,Giovanni,6,1,M,2.0,2.0,https://andynwof.wordpress.com/2021/09/23/wof-recap-september-23-2021/
2021-09-23,WordPress,Giovanni,7,19500,M,2.0,2.0,https://andynwof.wordpress.com/2021/09/23/wof-recap-september-23-2021/
2021-09-23,WordPress,Aly,8,3,F,2.0,2.0,https://andynwof.wordpress.com/2021/09/23/wof-recap-september-23-2021/
2021-09-23,WordPress,Aly,9,1200,F,2.0,2.0,https://andynwof.wordpress.com/2021/09/23/wof-recap-september-23-2021/
2021-09-23,WordPress,Cynthia,10,650,F,2.0,2.0,https://andynwof.wordpress.com/2021/09/23/wof-recap-september-23-2021/
2021-09-23,WordPress,Giovanni,11,5,M,2.0,2.0,https://andynwof.wordpress.com/2021/09/23/wof-recap-september-23-2021/
2021-09-23,WordPress,Cynthia,12,1,F,2.0,2.0,https://andynwof.wordpress.com/2021/09/23/wof-recap-september-23-2021/
2021-09-23,WordPress,Giovanni,13,27500,M,2.0,2.0,https://andynwof.wordpress.com/2021/09/23/wof-recap-september-23-2021/
2021-09-23,WordPress,Aly,14,13,F,2.0,2.0,https://andynwof.wordpress.com/2021/09/23/wof-recap-september-23-2021/
2021-09-24,WordPress,Jacob,1,1600,M,3.0,2.0,https://andynwof.wordpress.com/2021/09/24/wof-recap-september-24-2021/
2021-09-24,WordPress,Pam,2,1800,F,3.0,2.0,https://andynwof.wordpress.com/2021/09/24/wof-recap-september-24-2021/
2021-09-24,WordPress,Jacob,3,1300,M,3.0,2.0,https://andynwof.wordpress.com/2021/09/24/wof-recap-september-24-2021/
2021-09-24,WordPress,Jacob,4,700,M,3.0,2.0,https://andynwof.wordpress.com/2021/09/24/wof-recap-september-24-2021/
2021-09-24,WordPress,Jacob,5,1400,M,3.0,2.0,https://andynwof.wordpress.com/2021/09/24/wof-recap-september-24-2021/
2021-09-24,WordPress,Pam,6,1,F,3.0,2.0,https://andynwof.wordpress.com/2021/09/24/wof-recap-september-24-2021/
2021-09-24,WordPress,Jacob,7,10150,M,3.0,2.0,https://andynwof.wordpress.com/2021/09/24/wof-recap-september-24-2021/
2021-09-24,WordPress,Pam,8,1,F,3.0,2.0,https://andynwof.wordpress.com/2021/09/24/wof-recap-september-24-2021/
2021-09-24,WordPress,Renee,9,11770,F,3.0,2.0,https://andynwof.wordpress.com/2021/09/24/wof-recap-september-24-2021/
2021-09-24,WordPress,Jacob,10,10150,M,3.0,2.0,https://andynwof.wordpress.com/2021/09/24/wof-recap-september-24-2021/
2021-09-24,WordPress,Pam,11,650,F,3.0,2.0,https://andynwof.wordpress.com/2021/09/24/wof-recap-september-24-2021/
2021-09-24,WordPress,Pam,12,11,F,3.0,2.0,https://andynwof.wordpress.com/2021/09/24/wof-recap-september-24-2021/
2021-09-24,WordPress,Renee,13,13570,F,3.0,2.0,https://andynwof.wordpress.com/2021/09/24/wof-recap-september-24-2021/
2021-09-24,WordPress,Jacob,14,10150,M,3.0,2.0,https://andynwof.wordpress.com/2021/09/24/wof-recap-september-24-2021/
2021-09-27,WordPress,Krishna,1,1200,Unknown,5.0,0.0,https://andynwof.wordpress.com/2021/09/27/wof-recap-september-27-2021/
2021-09-27,WordPress,Peter,2,1,M,5.0,0.0,https://andynwof.wordpress.com/2021/09/27/wof-recap-september-27-2021/
2021-09-27,WordPress,Krishna,3,3500,Unknown,5.0,0.0,https://andynwof.wordpress.com/2021/09/27/wof-recap-september-27-2021/
2021-09-27,WordPress,Tina,4,600,F,5.0,0.0,https://andynwof.wordpress.com/2021/09/27/wof-recap-september-27-2021/
2021-09-27,WordPress,Peter,5,650,M,5.0,0.0,https://andynwof.wordpress.com/2021/09/27/wof-recap-september-27-2021/
2021-09-27,WordPress,Peter,6,9,M,5.0,0.0,https://andynwof.wordpress.com/2021/09/27/wof-recap-september-27-2021/
2021-09-27,WordPress,Krishna,7,2,Unknown,5.0,0.0,https://andynwof.wordpress.com/2021/09/27/wof-recap-september-27-2021/
2021-09-27,WordPress,Krishna,8,1300,Unknown,5.0,0.0,https://andynwof.wordpress.com/2021/09/27/wof-recap-september-27-2021/
2021-09-27,WordPress,Peter,9,1,M,5.0,0.0,https://andynwof.wordpress.com/2021/09/27/wof-recap-september-27-2021/
2021-09-27,WordPress,Tina,10,11850,F,5.0,0.0,https://andynwof.wordpress.com/2021/09/27/wof-recap-september-27-2021/
2021-09-27,WordPress,Peter,11,9,M,5.0,0.0,https://andynwof.wordpress.com/2021/09/27/wof-recap-september-27-2021/
2021-09-27,WordPress,Krishna,12,2,Unknown,5.0,0.0,https://andynwof.wordpress.com/2021/09/27/wof-recap-september-27-2021/
2021-09-27,WordPress,Tina,13,13850,F,5.0,0.0,https://andynwof.wordpress.com/2021/09/27/wof-recap-september-27-2021/
2021-09-27,WordPress,Peter,14,17200,M,5.0,0.0,https://andynwof.wordpress.com/2021/09/27/wof-recap-september-27-2021/
2021-09-27,WordPress,Krishna,15,4,Unknown,5.0,0.0,https://andynwof.wordpress.com/2021/09/27/wof-recap-september-27-2021/
2021-09-28,WordPress,Melissa,1,1800,F,4.0,1.0,https://andynwof.wordpress.com/2021/09/28/wof-recap-september-28-2021/
2021-09-28,WordPress,Jorge,2,650,M,4.0,1.0,https://andynwof.wordpress.com/2021/09/28/wof-recap-september-28-2021/
